,Volume,Volume,Episodes,Release date,Ref.,Unnamed: 5_level_0,Unnamed: 6_level_0
,Season 1,Season 1.1,Season 1,Season 1,Season 1,Season 1,Season 1
0,,Season One (Limited Edition),1–13,"May 17, 2017",[113],,
1,,Season One,1–13,"August 15, 2018 (Universal Sony)December 4, 2019 (Madman)",[114][115],,
2,Season 2,Season 2,Season 2,Season 2,Season 2,Season 2,Season 2
3,,Season Two Part One (Limited Edition),13.5–25,"May 9, 2018",[116],,
4,,Season Two Part Two (Limited Edition),26–38,"June 13, 2018",[117],,
5,,Season Two Part One,13.5–25,"August 15, 2018 (Universal Sony)December 4, 2019 (Madman)",[118][119],,
6,,Season Two Part Two,26–38,"August 15, 2018December 4, 2019 (Madman)",[120][121],,
7,Season 3,Season 3,Season 3,Season 3,Season 3,Season 3,Season 3
8,,Season 3 Part 1,39–50,"August 7, 2019",[122][123],,
9,,Season 3 Part 2,51–63,"November 6, 2019",[124],,
10,Season 4,Season 4,Season 4,Season 4,Season 4,Season 4,Season 4
11,,Season 4 Part 1,64–76,"December 9, 2020",[125],,
12,,Season 4 Part 2,77–88,"April 21, 2021",[126],,
13,Season 5,Season 5,Season 5,Season 5,Season 5,Season 5,Season 5
14,,Season 5 Part 1,89–101,"May 25, 2022",[127],,
15,,Season 5 Part 2,102–113,"February 8, 2023",[128],,
