,No.overall,No. inseason,Title [43],Storyboarded by [a],Directed by [a],Written by [a],Original air date [44],English air date [45][z],Viewership rating [46]
0,114,1,"""A Quiet Beginning""Transcription: ""Shizukana Hajimari"" (Japanese: 静かな始まり)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"October 1, 2022","December 4, 2022",3.9%
1,115,2,"""Mirko, the No. 5 Hero""Transcription: ""Nanbā Faibu no Miruko-san"" (Japanese: No.5のミルコさん)",Shōji Ikeno,Shōji Ikeno,Yōsuke Kuroda,"October 8, 2022","December 11, 2022",3.1%
2,116,3,"""One's Justice""",Takashi Kawabata,Tsuyoshi Tobita,Yōsuke Kuroda,"October 15, 2022","December 18, 2022",4.0%
3,117,4,"""Inheritance""Transcription: ""Keishō"" (Japanese: 継承)",Motonobu Hori,Kazuma Komatsu,Yōsuke Kuroda,"October 22, 2022","January 8, 2023",4.0%
4,118,5,"""The Thrill of Destruction""Transcription: ""Hametsu no Borutēji"" (Japanese: 破滅のボルテージ)",Michio Fukuda,Ikurō Satō,Yōsuke Kuroda,"October 29, 2022","January 15, 2023",4.4%
5,119,6,"""Encounter, Part 2""Transcription: ""Enkauntā 2"" (Japanese: エンカウンター2)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"November 5, 2022","January 22, 2023",3.6%
6,120,7,"""Disaster Walker""Transcription: ""Dizasutā Wōkā"" (Japanese: 災害歩行（ディザスターウォーカー）)",Shōji Ikeno,Shōji Ikeno,Yōsuke Kuroda,"November 12, 2022","January 29, 2023",3.4%
7,121,8,"""League of Villains vs. U.A. Students""Transcription: ""Viran Rengō Bui Esu Yūei Sei"" (Japanese: 敵（ヴィラン）連合vs雄英生)",Kō Matsuo,Kazuma Komatsu,Yōsuke Kuroda,"November 19, 2022","February 5, 2023",3.4%
8,122,9,"""Katsuki Bakugo: Rising""Transcription: ""Bakugō Katsuki: Raijingu"" (Japanese: 爆豪勝己 : ライジング)",Tomohiro Kamitani,Tomohiro Kamitani,Yōsuke Kuroda,"November 26, 2022","February 12, 2023",3.7%
9,123,10,"""The Ones Within Us""Transcription: ""Bokura no Naka no Hito"" (Japanese: 僕らの中の人)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"December 3, 2022","February 19, 2023",5.3%
10,124,11,"""Dabi's Dance""Transcription: ""Dabi Dansu"" (Japanese: ダビダンス)",Shōji Ikeno,Shōji Ikeno,Yōsuke Kuroda,"December 10, 2022","February 26, 2023",3.9%
11,125,12,"""Threads of Hope""Transcription: ""Ichiru no Kibō-tachi"" (Japanese: 一縷の希望たち)",Minoru Ōhara,Ikurō Satō,Yōsuke Kuroda,"December 17, 2022","March 5, 2023",3.7%
12,126,13,"""Final Performance""Transcription: ""Rasuto Sutēji"" (Japanese: ラストステージ)",Tomo Ōkubo,Tsuyoshi Tobita,Yōsuke Kuroda,"December 24, 2022","March 5, 2023",4.3%
13,127,14,"""Hellish Hell""Transcription: ""Gokukoku, Jigoku"" (Japanese: 極々、地獄)",Takashi Kawabata,Shōji Ikeno,Yōsuke Kuroda,"January 7, 2023","March 12, 2023",4.1%
14,128,15,"""Tartarus""Transcription: ""Tarutarosu"" (Japanese: タルタロス)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"January 14, 2023","March 12, 2023",3.2%
15,129,16,"""The Hellish Todoroki Family, Part 2""Transcription: ""Jigoku no Todoroki-kun-chi 2"" (Japanese: 地獄の轟くん家 2)",Takashi Kawabata,Kazuma Komatsu,Yōsuke Kuroda,"January 21, 2023","March 19, 2023",3.3%
16,130,17,"""The Wrong Way to Put Out a Fire""Transcription: ""Hi no Fushimatsu"" (Japanese: 火の不始末)",Shōji Ikeno,Shōji Ikeno,Yōsuke Kuroda,"January 28, 2023","March 19, 2023",4.0%
17,131,18,"""Izuku Midoriya and Tomura Shigaraki""Transcription: ""Midoriya Izuku to Shigaraki Tomura"" (Japanese: 緑谷出久と死柄木弔)",Shōji Ikeno,Ikurō Satō,Yōsuke Kuroda,"February 4, 2023","March 26, 2023",3.6%
18,132,19,"""Full Power!!""Transcription: ""Zenryoku!!"" (Japanese: 全力!!)",Tomohiro Kamitani,Shōji Ikeno,Yōsuke Kuroda,"February 11, 2023","March 26, 2023",3.8%
19,133,20,"""Hired Gun""Transcription: ""Shikaku"" (Japanese: 刺客)",Shinji Satō,Tsuyoshi Tobita,Yōsuke Kuroda,"February 18, 2023","April 2, 2023",3.5%
20,134,21,"""The Lovely Lady Nagant""Transcription: ""Uruwashiki Redi Nagan"" (Japanese: 麗しきレディ・ナガン)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"February 25, 2023","April 2, 2023",3.8%
21,135,22,"""Friend""Transcription: ""Tomodachi"" (Japanese: 友だち)",Shōji Ikeno,Shōji Ikeno,Yōsuke Kuroda,"March 4, 2023","April 9, 2023",3.1%
22,136,23,"""Deku vs. Class A""Transcription: ""Deku Bāsasu Ē-gumi"" (Japanese: デクvsA組)",Shinji Satō,Tomo Ōkubo,Yōsuke Kuroda,"March 11, 2023","April 9, 2023",2.7%
23,137,24,"""A Young Woman's Declaration""Transcription: ""Miseinen no Shuchō"" (Japanese: 未成年の主張)",Kō Matsuo,Ikurō Satō,Yōsuke Kuroda,"March 18, 2023","April 16, 2023",3.3%
24,138,25,"""No Man Is an Island""Transcription: ""Tsunagaru Tsunagaru"" (Japanese: つながるつながる)",Shinji Satō,Shōji Ikeno,Yōsuke Kuroda,"March 25, 2023",TBA,3.0%
