,No.overall,No. inseason,Title,Storyboarded by [a],Directed by [a],Written by [a],Original air date,English air date,Viewership rating [29]
0,39,1,"""Game Start""Transcription: ""Gēmu Sutāto"" (Japanese: ゲーム・スタート)",Takudai Kakuchi,Takudai Kakuchi,Yōsuke Kuroda,"April 7, 2018","March 3, 2019",4.9%
1,40,2,"""Wild, Wild Pussycats""Transcription: ""Wairudo Wairudo Pusshīkyattsu"" (Japanese: ワイルド・ワイルド・プッシーキャッツ)",Shinji Satō,Tomo Ōkubo,Yōsuke Kuroda,"April 14, 2018","March 10, 2019",2.9%
2,41,3,"""Kota""Transcription: ""Kōta-kun"" (Japanese: 洸汰くん)",Satoshi Matsumoto[g],Tetsuya Miyanishi[h],Yōsuke Kuroda,"April 21, 2018","March 17, 2019",3.6%
3,42,4,"""My Hero""Transcription: ""Boku no Hīrō"" (Japanese: 僕のヒーロー)",Michio Fukuda,Shōji Ikeno,Yōsuke Kuroda,"April 28, 2018","March 24, 2019",3.7%
4,43,5,"""Drive It Home, Iron Fist!!!""Transcription: ""Buchikomu Tekken!!!"" (Japanese: ブチ込む鉄拳!!!)",Ken Ōtsuka,Naoki Hishikawa,Yōsuke Kuroda,"May 5, 2018","March 31, 2019",3.4%
5,44,6,"""Roaring Upheaval""Transcription: ""Ganaru Fūunkyū"" (Japanese: がなる風雲急)",Shinji Satō,Shōji Ikeno,Yōsuke Kuroda,"May 12, 2018","April 7, 2019",
6,45,7,"""What a Twist!""Transcription: ""Ten Ten Ten!"" (Japanese: 転転転!)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"May 19, 2018","April 13, 2019[i]",3.2%
7,46,8,"""From Iida to Midoriya""Transcription: ""Īda-kara Midoriya e"" (Japanese: 飯田から緑谷へ)",Shinji Ishihira[j],Tetsuya Miyanishi[k],Yōsuke Kuroda,"May 26, 2018","April 20, 2019",3.7%
8,47,9,"""All For One""Transcription: ""Ōru Fō Wan"" (Japanese: オール・フォー・ワン)",Ken Ōtsuka,Yūsuke Kamata,Yōsuke Kuroda,"June 2, 2018","April 27, 2019",4.2%
9,48,10,"""Symbol of Peace""Transcription: ""Heiwa no Shōchō"" (Japanese: 平和の象徴)",Shinji Ishihira,Yūji Ōya,Yōsuke Kuroda,"June 9, 2018","May 4, 2019",3.6%
10,49,11,"""One For All""Transcription: ""Wan Fō Ōru"" (Japanese: ワン・フォー・オール)",Shinji Ishihira,Tetsuya Miyanishi,Yōsuke Kuroda,"June 16, 2018","May 11, 2019",4.5%
11,50,12,"""End of the Beginning, Beginning of the End""Transcription: ""Hajimari no Owari Owari no Hajimari"" (Japanese: 始まりの終わり 終わりの始まり)",Satomi Nakamura,Shōji Ikeno,Yōsuke Kuroda,"June 23, 2018","May 18, 2019",2.8%
12,51,13,"""Moving into Dorms""Transcription: ""Haire Ryō"" (Japanese: 入れ寮)",Takashi Kawabata,Tetsuya Miyanishi,Yōsuke Kuroda,"June 30, 2018","May 25, 2019",3.5%
13,52,14,"""Create Those Ultimate Moves""Transcription: ""Ame Hissatsuwaza"" (Japanese: 編め必殺技)",Shinji Ishihira,Satoshi Takafuji,Yōsuke Kuroda,"July 14, 2018","June 1, 2019",
14,53,15,"""The Test""Transcription: ""Za Shiken"" (Japanese: THE試験)",Kō Matsuo,Masahiro Mukai,Yōsuke Kuroda,"July 21, 2018","June 8, 2019",3.2%
15,54,16,"""Shiketsu High Lurking""Transcription: ""Haiyoru Shiketsu Kōkō"" (Japanese: 這い寄る士傑高校)",Motonobu Hori,Tetsuya Miyanishi,Yōsuke Kuroda,"July 28, 2018","June 15, 2019",4.5%
16,55,17,"""Class 1-A""Transcription: ""Ichi-Nen Ei-Gumi"" (Japanese: 1年A組)",Shinji Ishihira,Takahiro Hasui,Yōsuke Kuroda,"August 4, 2018","June 22, 2019",3.2%
17,56,18,"""RUSH!""",Atsushi Takahashi,Shōji Ikeno,Yōsuke Kuroda,"August 11, 2018","June 29, 2019",3.7%
18,57,19,"""Rescue Exercises""Transcription: ""Kyūjo Enshū"" (Japanese: 救助演習)",Shinji Ishihira,Masahiro Mukai,Yōsuke Kuroda,"August 18, 2018","July 7, 2019[l]",
19,58,20,"""Special Episode: Save the World with Love!""Transcription: ""Tokubetsu-hen・Ai de Chikyū o Sukue!"" (Japanese: 特別編・愛で地球を救え!)",Shinji Satō,Tetsuya Miyanishi,Yōsuke Kuroda,"August 25, 2018","July 14, 2019",4.8%
20,59,21,"""What's the Big Idea?""Transcription: ""Nani o Shitendayo"" (Japanese: 何をしてんだよ)",Shinji Satō,Ikurō Satō,Yōsuke Kuroda,"September 1, 2018","July 21, 2019",3.1%
21,60,22,"""A Talk about Your Quirk""Transcription: ""Temee no ""Kosei"" no Hanashida"" (Japanese: てめェの""個性""の話だ)",Shinji Ishihira,Tomo Ōkubo,Yōsuke Kuroda,"September 8, 2018","July 28, 2019",3.3%
22,61,23,"""Deku vs. Kacchan, Part 2""Transcription: ""Deku Bāsasu Kacchan 2"" (Japanese: デクvsかっちゃん2)",Shinji Satō,"Masashi Abe,Shōji Ikeno",Yōsuke Kuroda,"September 15, 2018","August 4, 2019",
23,62,24,"""A Season for Encounters""Transcription: ""Deai no Kisetsu"" (Japanese: 出会いの季節)",Shinji Ishihira,Tomo Ōkubo,Yōsuke Kuroda,"September 22, 2018","August 11, 2019",3.5%
24,63,25,"""Unrivaled""Transcription: ""Muteki"" (Japanese: 無敵)",Kenji Nagasaki,Kenji Nagasaki,Yōsuke Kuroda,"September 29, 2018","August 18, 2019",5.1%
